职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
产品经理,1-1.6万·13薪,佛山·顺德区,5年及以上,本科,青岛海信模具有限公司,机械/设备/重工,国企,500-1000人,年终奖金;项目提成,办公软件;数据分析;cad;项目管理;office;方案设计;产品开发;功能设计;市场调查;调研,
项目产品工程师,8千-1.2万·14薪,湖州,3年及以上,大专,湖州剑力金属制品有限公司,汽车,外资（非欧美）,1000-5000人,,项目管理;产品开发;项目计划;机械工程;五大工具;产品开发流程;产品项目管理;项目案例;分析项目风险;监控进度,
电力智能运维产品经理,2.5-3.5万·14薪,南京·江宁区,5年及以上,本科,江苏金智科技股份有限公司,计算机软件,民营,1000-5000人,,研发;市场分析;电力行业;售前技术支持;需求收集;产品管理;调研分析;智能运维;智能巡检;智能辅控;新能源,
产品工程师（base保定）,1.2-2万·15薪,保定,无需经验,大专,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),合资,5000-10000人,社保缴纳;五险一金;补充医疗保险;带薪年假;带薪病假,产品设计;产品工程师;机械设计;汽车零部件;项目开发;全职,
助理产品经理,1.2-1.5万·13薪,成都,3年及以上,本科,莫仕连接器（成都）有限公司,电子技术/半导体/集成电路,外资（欧美）,1000-5000人,五险一金;定期体检;商业意外险;年终奖金;绩效奖金;餐饮补贴;通讯补贴;交通补贴,车载连接器;产品管理,
软产品规划,15-25万/年,武汉,3年及以上,本科,东风汽车集团股份有限公司奕派汽车科技分公司,汽车,国企,未知,五险一金;年终奖金;餐饮补贴;通讯补贴;交通补贴,汽车;市场分析;办公工具;汽车零部件;汽车行业;软产品;新能源,
产品/商品专员（跨境电商）,1-1.2万,杭州·拱墅区,3年及以上,本科,梦百合家居科技股份有限公司,电子技术/半导体/集成电路,民营,未知,五险一金;带薪年假,电子商务;国际贸易;产品上架;产品管理;网站;shopify;excel;产品上线,市场营销 销售数据
产品经理,2.5-3.5万,广州·花都区,5年及以上,本科,国光电器股份有限公司,电子技术/半导体/集成电路,已上市,5000-10000人,,耳机;产品迭代;智能音箱;al;智能穿戴设备;产品线布局;产品路线规划;技术路线,产品战略规划
销售工程师,,呼和浩特·托克托县,3-5年,本科,陕西秦风气体股份有限公司,石油/化工/矿产/地质,国企,500-1000人,五险一金;带薪年假;专业培训;定期体检;有餐补,调研;调整产品价格;收回货款;调研报告,扩大销售额
产品经理（AI视觉）,1.5-2.5万·13薪,深圳·宝安区,3年及以上,本科,深圳市正运动技术有限公司,仪器仪表/工业自动化,民营,150-500人,五险一金;员工旅游;年终奖金;定期体检;股票期权;专业培训;餐饮补贴;绩效奖金,AI视觉;产品优化迭代,
机械工程师（金属切割产品）,1-2万,徐州·睢宁县,2年及以上,本科,松谷激光科技（江苏）有限公司,机械/设备/重工,民营,50-150人,五险一金;专业培训;定期体检;带薪年假;弹性工作;员工宿舍,自动化设备;数控机床;金属加工设备;金属激光切割,
产品专员,6-9千,珠海·香洲区,2年及以上,本科,珠海创智科技有限公司,仪器仪表/工业自动化,民营,150-500人,五险一金;年终奖金,办公软件;需求分析;axure;原型设计;思维导图;产品原型设计;产品迭代优化;问题闭环;visio,
产品上下链接（日结兼职）,180元/天,怀化,无需经验,,南通中水网络信息科技有限公司,互联网/电子商务,民营,500-1000人,培训;提成,运营;无需经验;接受小白;居家办公;时间自由;兼职;日结;自由职业;工作简单;宝妈;线上办公,
短视频剪辑（周末双休）,4-8千,重庆·九龙坡区,1年,大专,重庆市彩光科技有限公司,电子技术/半导体/集成电路,民营,少于50人,节日福利;周末双休,抖音;短视频;产品宣传;后期剪辑;调色;视频剪辑软件;短视频制作;拍摄计划;拍摄;剪辑,
产品经理（血透）,2.8-3.8万,上海,5年及以上,本科,苏州林华医疗器械股份有限公司,医疗设备/器械,民营,1000-5000人,培训;专业培训,招投标;市场调研;市场分析;竞品分析;立项;市场活动,销售 市场推广 销售预测
Product Engineer,1.8-2万·13薪,苏州·苏州工业园区,5年,本科,艾迪尔彩登夹具（苏州）有限公司,汽车,外资（欧美）,150-500人,五险一金;年终奖金;绩效奖金;专业培训;定期体检;餐饮补贴;员工旅游,PE;产品工程师;产品设计;产品研发,
产品和市场工程师,8千-1.6万,北京·朝阳区,1年,大专,捷创力电子科技（深圳）有限公司,电子技术/半导体/集成电路,外资（非欧美）,50-150人,周末双休;五险一金;弹性工作;补充公积金;交通补贴;专业培训,,
产品经理,1.2-1.8万,珠海·珠海高新区,5年及以上,本科,珠海新华通软件股份有限公司,计算机软件,已上市,50-150人,五险一金;年终奖金;绩效奖金;带薪年假;周末双休,数据分析;需求分析;项目管理;sql;团队管理,
短视频运营专员,8千-1.6万,惠州·仲恺区,1年,本科,深圳市中电强能科技有限公司,计算机软件,民营,未知,国家社保,运营;广告;短视频;新闻;产品宣传;活动宣传;导演;脚本撰写;传播;用户需求,
产品经理,1.5-3万,杭州·西湖区,2年及以上,本科,浙江万胜智能科技股份有限公司,仪器仪表/工业自动化,已上市,500-1000人,,测试;技术交流;项目计划;收集市场信息;产品认证;现场演示;客户确认;市场行业动态;认证资质;技术方案编制,
Java开发工程师 / 软件开发工程师（产品导向）,1.2-1.6万,上海·杨浦区,3-5年,本科,上海蓝矩信息科技有限公司,计算机软件,民营,少于50人,,软件工程师;开发;软件,
WMS产品经理,2.5-3.5万,上海·长宁区,5年及以上,本科,橙联（中国）有限公司,互联网/电子商务,合资,150-500人,五险一金;补充医疗保险,项目管理;需求调研;电商;需求文档;供应链;wms;信息系统;prd;目标管理;TMS,
机械产品工程师（研发）,9千-1.2万·13薪,杭州·上城区,3年及以上,本科,杭州巨星科技股份有限公司,机械/设备/重工,已上市,5000-10000人,,机械;装配;机械制造;新产品开发;产品报价;时间管理;降低生产成本;产品工程师,
产品设计工程师,6千-1.2万·13薪,南通·崇川区,1-3年,大专,蓝浦新材料科技（南通）有限公司,石油/化工/矿产/地质,外资（欧美）,50-150人,五险一金;年终奖金;周末双休;节日福利,,
产品和市场工程师,8千-1.6万,北京·朝阳区,1年,大专,捷创力电子科技（深圳）有限公司,电子技术/半导体/集成电路,外资（非欧美）,50-150人,周末双休;五险一金;弹性工作;补充公积金;交通补贴;专业培训,,
海外产品管理经理 (MJ002522),2.5-4.5万·13薪,广州,8年及以上,本科,无限极（中国）有限公司,快速消费品(食品、饮料、化妆品),外资（非欧美）,5000-10000人,五险一金;补充医疗保险,订单交付;退市管理;产品升级;产品变更管理;项目管理;团队管理;供应商管理;新品开发;质量,
产品经理（工程机械-合肥）,8千-1.6万·13薪,合肥,3-5年,本科,深圳麦格米特电气股份有限公司,电子技术/半导体/集成电路,已上市,5000-10000人,五险一金,数据分析;机械;需求分析;市场分析;产品推广;市场动态;工程机械;客户分析,客户关系 产品规划
创新发展中心-产品经理,15-20万/年,青岛·崂山区,3年及以上,本科,青岛饮料集团有限公司,快速消费品(食品、饮料、化妆品),国企,1000-5000人,年终奖金;绩效奖金,ai;原型设计;中试;市场研究;商业分析;立项报告;消费者洞察;可行性论证;设计思维,商业模式
产品开发工程师,1.5-3万,合肥·蜀山区,3年及以上,本科,安徽瑞迪微电子有限公司,电子技术/半导体/集成电路,合资,50-150人,五险一金;绩效奖金;定期体检;节日福利,电子;需求分析;半导体器件;电路;物理;技术文档;产品管理;项目,
产品专员,8千-1.3万·13薪,武汉·江汉区,1-5年,本科,中焙食品（武汉）有限公司,快速消费品(食品、饮料、化妆品),民营,500-1000人,产品培训;五险一金;带薪年假;节日福利,推广;市场调研;食品;产品推广;市场信息收集;数据整理;烘焙,市场营销
产品工程师（机加）(J10349),1.5-2万,嘉兴,2年,大专,浙江宏利汽配集团有限公司,汽车零配件,民营,1000-5000人,培训,汽车项目;APQP;PPAP,
