职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
HR&Admin Manager 人事行政经理,2-2.5万,嘉兴·平湖市,10年及以上,本科,蒂森克虏伯弹簧稳定杆（平湖）有限公司,汽车零配件,外资（欧美）,150-500人,五险一金;补充医疗保险;交通补贴;通讯补贴;年终奖金;定期体检,hr;hc;planning;strategy;projects,
理赔综合管理岗,8千-1.2万·13薪,深圳·罗湖区,无需经验,本科,中国人民健康保险股份有限公司深圳分公司,保险,国企,150-500人,绩效奖金;工会福利;五险一金;高温补贴;周末双休;餐补;节日福利;购买五险,综合管理;理赔运营;保险;补充保险,
营销策划销售主管YS,8千-1.6万,南昌·西湖区,无需经验,大专,中国平安人寿保险股份有限公司江西分公司,保险,民营,未知,,地产;教培,销售
造价公司总经理（国企）,60-80万/年,南京,10年及以上,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),合资,5000-10000人,培训计划;培训,工程管理;工程造价;招投标;造价;施工图预算;工程结算;团队建设;合同签订;技术管理,
电话客服经理,6-12万/年,青岛·市北区,1年及以上,本科,泰康养老保险股份有限公司青岛分公司,保险,民营,10000人以上,补充医疗保险;专业培训;绩效奖金;年终奖金;定期体检,保险;客服;保单服务;电话沟通;保全业务,金融
银保培训管理岗,9千-1.4万,深圳·罗湖区,3年及以上,本科,中国人民健康保险股份有限公司深圳分公司,保险,国企,150-500人,培训;新人培训;五险一金;绩效奖金,数据分析;ppt;师范;保险;视频拍摄;课程开发,市场营销 销售活动策划
华泰财险广东分公司中介渠道业务销售（业务发展经理）,4-8千,东莞·东城区,3年及以上,大专,华泰财产保险有限公司,保险,外资（欧美）,1000-5000人,产品培训;五险一金,ppt;市场分析;商务;英语读写;业务拓展;财产险;保险行业;保险,市场营销 销售计划
长沙/双休/五险一金/资源下发,1-2万,长沙,1-2年,大专,中国平安人寿保险股份有限公司陕西分公司,保险,民营,未知,不加班;周末双休;培训;晋升空间,朝九晚六;每月团建;季度奖;医疗保险;公积金;工作简单;法定节假;佣金,
终端品牌建设主管,1-1.5万·13薪,宁波·慈溪市,3-5年,本科,宁波方太营销有限公司,家具/家电/玩具/礼品,民营,未知,五险一金;绩效奖金;年终奖金;专业培训;定期体检;餐饮补贴;带薪年假;节日福利;员工旅游;补充医疗保险,全勤奖,
督训岗（国有寿险公司中心支公司岗位，无销售性质）,8-10万/年,怀化·鹤城区,无需经验,大专,瑞众人寿保险有限责任公司湖南分公司,保险,国企,10000人以上,补充医疗保险,授课;课程研发;业务分析;人力发展;讲师;组训;afp;cfp;兼职;晋升;六险一金,销售 活动策划
国企车险专续费管理,6-8千,鄂尔多斯,无需经验,高中,中国大地财产保险股份有限公司,保险,国企,10000人以上,产品培训;销售技能培训;年终奖;技能培训,电脑;客户资源;意向客户资源;车险续保;续保;联系客户;保险,销售
国企车险专续费管理,6-8千,渭南,无需经验,高中,中国大地财产保险股份有限公司,保险,国企,10000人以上,产品培训;销售技能培训;年终奖;技能培训,电脑;客户资源;意向客户资源;车险续保;续保;联系客户;保险,销售
国企车险专续费管理,6-8千,临夏,无需经验,高中,中国大地财产保险股份有限公司,保险,国企,10000人以上,产品培训;销售技能培训;年终奖;技能培训,电脑;客户资源;意向客户资源;车险续保;续保;联系客户;保险,销售
嵌入式软件开发工程师C++,1.4-1.6万·14薪,武汉·武汉经济开发区,5年及以上,本科,法雷奥舒适及驾驶辅助系统武汉技术中心,汽车,外资（欧美）,500-1000人,五险一金;专业培训;带薪年假;做五休二;补充医疗保险;免费班车,免费午餐,
国企车险专续费管理,6-8千,汉中,无需经验,高中,中国大地财产保险股份有限公司,保险,国企,10000人以上,产品培训;销售技能培训;年终奖;技能培训,电脑;客户资源;意向客户资源;车险续保;续保;联系客户;保险,销售
泰康健康财富规划师HWP主管,3-5万,长沙·岳麓区,10年及以上,大专,泰康人寿保险有限责任公司四川成都华阳营销服务部,保险,民营,未知,培训体系;培训,时间管理;养老;健康;风险规划;扩大客户群体;hwp;奖金;保险,金融 财富管理 客户服务
国企车险专续费管理,6-8千,台州·椒江区,无需经验,高中,中国大地财产保险股份有限公司,保险,国企,10000人以上,产品培训;销售技能培训;年终奖;技能培训,电脑;客户资源;意向客户资源;车险续保;续保;联系客户;保险,销售
央企管培生,8千-1.3万·15薪,郑州·金水区,无需经验,大专,中国人寿保险股份有限公司郑州市分公司,保险,国企,10000人以上,年终奖;培训,保险;理财;理财规划;发展;高薪;岗位津贴;上不封顶;佣金,金融 银行 投资 证券
薪酬福利主任,1.2-1.7万,深圳·龙华区,5年及以上,本科,华润三九医药股份有限公司,制药/生物工程,国企,10000人以上,五险一金;年终奖金;定期体检;餐饮补贴;带薪年假;通讯补贴;交通补贴;补充医疗保险;免费班车,,
国企车险专续费管理,6-8千,庆阳,无需经验,高中,中国大地财产保险股份有限公司,保险,国企,10000人以上,产品培训;销售技能培训;年终奖;技能培训,电脑;客户资源;意向客户资源;车险续保;续保;联系客户;保险,销售
视频查勘质培专员,6-8千,广州,1-3年,大专,广东广信通信服务有限公司,通信/电信运营、增值服务,国企,10000人以上,培训;岗前培训;五险一金;节日津贴,管理;驾照;辅导;质检;查勘定损;数据支持;保险行业;户外拓展;法定三工,
分公司团队业务部/健康保险部主要负责人,20-30万/年,沈阳,3年及以上,本科,新华人寿保险股份有限公司辽宁分公司,保险,已上市,150-500人,绩效奖金;节日福利;带薪年假,团队管理;寿险;渠道管理;任职回避;队伍建设;团险渠道;关系拓展维护;保险,金融
国企车险专续费管理,6-8千,临夏,无需经验,高中,中国大地财产保险股份有限公司,保险,国企,10000人以上,产品培训;销售技能培训;年终奖;技能培训,电脑;客户资源;意向客户资源;车险续保;续保;联系客户;保险,销售
综合部副主任,5-6千,昆明·晋宁区,3-4年,大专,云南海天电缆集团有限公司,电气/电力/水利,民营,150-500人,包住宿;节日福利;加班补贴;包吃,包三餐;社会保险;休息灵活,
