职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
宜兴-证券事务专员,5-9千·14薪,无锡·宜兴市,1年,本科,无锡帝科电子材料股份有限公司,原材料和加工,民营,150-500人,,会计;法律法规;投行;法律;公司法;经济;披露,金融 证券法规 上市公司
投资助理,8千-1.2万,北京·朝阳区,在校生/应届生,硕士,中国检验认证集团测试技术有限公司,检测，认证,国企,少于50人,绩效奖金;专业培训,管理;尽职调查;经济;理工;计划执行;分析行业信息,金融 研究报告 投资项目 投资方案设计
投资总监,50-60万/年,深圳·福田区,8年及以上,硕士,广东红墙新材料股份有限公司,建筑/建材/工程,已上市,500-1000人,五险一金;绩效奖金;年终奖金;定期体检;餐饮补贴,数据分析;谈判;尽职调查;后期服务;生物医药;并购,投资
行业咨询师-绍兴分公司,18-25万/年,绍兴,3年及以上,本科,中国电信股份有限公司浙江分公司,通信/电信运营、增值服务,国企,5000-10000人,五险一金;带薪年假;节日福利,计算机;机械;项目管理;自动化;招投标;电气;投标;方案设计;数学,销售
智投-生命科学产业研究与招商岗,7千-1.1万,三亚·崖州区,无需经验,本科,三亚科城教育有限公司,专业服务(咨询、人力资源、财会),国企,少于50人,培训,咨询;合同签订;生命科学;英文;业务拓展;学生干部;投行;招商引资;维护客户资源;拓展招商渠道,
投资管理,1-2万·15薪,深圳·福田区,3年及以上,本科,深圳市福田产业投资服务有限公司,金融/投资/证券,国企,150-500人,五险一金;带薪年假;绩效奖金,财务;尽职调查;经济;cfa;投后管理;可行性分析;cpa,金融 投资 股权投资
机构业务中心-金融机构部-机构业务岗G01320,1.3-2.5万,上海·浦东新区,2年及以上,本科,中信期货有限公司,金融/投资/证券,国企,1000-5000人,保险;五险一金;补充医疗保险;补充公积金;补充企业年金;专业培训,英语环境,
投资者关系,3.5-5.5万·16薪,宁波·鄞州区,3年及以上,本科,奥克斯空调股份有限公司,多元化业务集团公司,民营,10000人以上,五险一金;定期体检,证券从业资格;财务;英语;经济;交易策略;市场咨询;决策支持,金融 路演 资本市场
理财经理,2-3万,东莞,2年及以上,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,培训,资产配置;赎回;理财产品购买,金融行业 客户服务 投资组合分析
投研总监(004754),1.5-2万,济南·历下区,8年及以上,硕士,东阿阿胶股份有限公司,制药/生物工程,已上市,5000-10000人,,药学;证券从业资格;医学;生物学;医药行业;化学;尽职调查;药品研发;可行性研究,资本市场
行业研究员/股票研究员,5千-1万,上海,无需经验,本科,上海元涞私募基金管理有限公司,金融/投资/证券,民营,少于50人,五险一金,基金产品,研究报告 投资 股票投资 个股研究报告 价值投资
投行分析师,1-1.5万,上海·虹口区,1-3年,本科,上海鼎泰信诚投资咨询有限公司,金融/投资/证券,外资（欧美）,少于50人,五险一金;专业培训;绩效奖金,数据分析;审计;咨询;office;ai;业务拓展;投行;新能源;股权激励,金融 ipo
投行—承做岗,1.5-2.5万,上海·浦东新区,2年及以上,硕士,爱建证券有限责任公司,金融/投资/证券,国企,500-1000人,培训,尽职调查;cpa;现场协调;项目负责人;项目建议书;再融资;律师资格证;申报;产品方案设计,并购重组
培训生,8千-1.2万,青岛·市南区,在校生/应届生,本科,中信证券（山东）有限责任公司青岛分公司,金融/投资/证券,国企,50-150人,定期体检;餐饮补贴;带薪年假,基金,证券投资 证券行业 金融产品销售 投融资 客户开发服务 金融服务
投资银行部项目经理（中级）(000584),1.5-2.5万,北京·东城区,6年及以上,本科,国盛证券有限责任公司,金融/投资/证券,国企,1000-5000人,,证券从业资格;保荐代表人;财务尽调;券商投行;法律核查;考核;申报材料撰写;创新业务,
战略投研部投资经理,1.5-2.5万,深圳·福田区,3年及以上,硕士,惠州亿纬锂能股份有限公司,新能源,已上市,10000人以上,五险一金;年终奖金;带薪年假;节日福利;周末双休,新能源行业;财务模型搭建;新能源,投资研判 投资分析报告
溪牛投资管理（北京）有限公司招聘-股票交易员,1-2万,深圳·福田区,无需经验,硕士,溪牛投资管理（北京）有限公司,金融/投资/证券,民营,少于50人,五险一金;补充医疗保险;补充公积金,股票交易,
经营副总,1.5-2万,杭州·拱墅区,10年及以上,本科,硕谷昊天建设（杭州）有限公司,建筑/建材/工程,民营,少于50人,绩效奖金,谈判;团队管理;市场调研;建筑行业;工商管理;关系维护;业务管理;风险管控;招投标管理;综合管理,
银行理财经理,35-40万/年,惠州,2年及以上,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,节日福利,业务咨询;处理客户投诉;理财规划;控制风险;收集客户,金融 银行 营销策划 营销服务 宣传营销
投资银行部项目经理（中级）(000584),1.5-2.5万,深圳·福田区,6年及以上,本科,国盛证券有限责任公司,金融/投资/证券,国企,1000-5000人,,证券从业资格;保荐代表人;财务尽调;券商投行;法律核查;考核;申报材料撰写;创新业务,
证券投资顾问,8千-1.2万,江门,无需经验,本科,招商证券股份有限公司江门白沙大道东证券营业部,金融/投资/证券,已上市,5000-10000人,绩效奖金;专业培训;年终奖金;定期体检;餐饮补贴;补充医疗保险;通讯补贴;带薪年假;节日福利;周末双休;高温补贴,,
投资部-部门负责人（兴泰创投）,,合肥·蜀山区,5年及以上,本科,合肥兴泰金融控股（集团）有限公司,金融/投资/证券,国企,未知,,管理;医疗器械;尽职调查;生物医药;可行性分析;交易架构;协议签署;增值服务;股权,投资建议书
投行—承做岗,1.5-2.5万,上海·浦东新区,2年及以上,硕士,爱建证券有限责任公司,金融/投资/证券,国企,500-1000人,培训,尽职调查;cpa;现场协调;项目负责人;项目建议书;再融资;律师资格证;申报;产品方案设计,并购重组
物业客服主管,6-6.5千,昆山,5年及以上,大专,上海上坤物业管理有限公司,物业管理/商业中心,民营,150-500人,五险一金;餐饮补贴;带薪年假;绩效奖金;节日福利;专业培训;通讯补贴;交通补贴;五险,客户接待;物业管理,
投资银行部项目经理（高级）(000635),1.5-2.5万,上海·浦东新区,8年及以上,硕士,国盛证券有限责任公司,金融/投资/证券,国企,1000-5000人,,证券从业资格;团队管理;客户沟通;维护客户关系;客户资源;cpa;持续督导;注册会计师;团队建设,金融机构 ipo
投行项目经理,1.4-2万,上海·虹口区,3-5年,本科,上海鼎泰信诚投资咨询有限公司,金融/投资/证券,外资（欧美）,少于50人,五险一金;绩效奖金;专业培训;补充医疗保险;带薪假期,中概股;NASDAQ;NYSE;股权激励;底薪;职业发展,
财富顾问,7.9千-1万,广州·天河区,无需经验,本科,招商证券股份有限公司广州天河君茂广场证券营业部,金融/投资/证券,已上市,150-500人,,,
投资经理,8千-1.6万,武汉·江汉区,5年及以上,本科,武汉星汉无限创业投资合伙企业（有限合伙）,计算机软件,民营,未知,,底薪,
投资经理,2.5-3万,武汉·洪山区,3年及以上,本科,四川新南泰企业管理咨询有限公司,专业服务(咨询、人力资源、财会),民营,未知,,项目管理;尽职调查;理工科;审批;行业研究;新能源;pe;可行性研究,金融 股权投资
投资总监--国际投资公司,3-4.5万,广州·白云区,5年及以上,本科,广州白云产业投资集团有限公司,多元化业务集团公司,国企,500-1000人,定期体检;五险二金,期货;基金;经济;资产管理;私募基金;员工食堂,金融 银行 金融机构 投资建议
投资银行部项目经理（中级）(000584),1.5-2.5万,深圳·福田区,6年及以上,本科,国盛证券有限责任公司,金融/投资/证券,国企,1000-5000人,,证券从业资格;保荐代表人;财务尽调;券商投行;法律核查;考核;申报材料撰写;创新业务,
投行助理,7-8千,上海·青浦区,无需经验,本科,金松资本管理有限公司,金融/投资/证券,民营,少于50人,五险一金;带薪年假;员工旅游;年终奖金;定期体检;交通补贴,,
投资经理,1.5-2.5万,深圳·龙华区,3年及以上,本科,深圳市利和兴股份有限公司,机械/设备/重工,已上市,500-1000人,五险一金;员工旅游;带薪年假;节日福利,半导体;自动化;新能源;新材料;机器人;并购,投资
投行经理（本硕211/985）-国企直签,2-3.5万,北京·西城区,2年及以上,硕士,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,培训,数据分析;谈判;ppt;通信;方案设计;ai;理工科;雅思;生物医药;托福;全职;新能源;能力优先,
投资银行部项目经理（中级）(000584),1.5-2.5万,北京·东城区,6年及以上,本科,国盛证券有限责任公司,金融/投资/证券,国企,1000-5000人,,证券从业资格;保荐代表人;财务尽调;券商投行;法律核查;考核;申报材料撰写;创新业务,
投融资协同经理,1.3-1.8万,南京·建邺区,1年及以上,硕士,南京市创新投资集团有限责任公司,金融/投资/证券,国企,50-150人,五险一金,办公软件;基金;cfa;cpa;公文写作;现场执行;会计师事务所;基金管理;推介,证券从业
投行业务岗,,南京·建邺区,5年及以上,硕士,江苏农村商业联合银行股份有限公司,银行,国企,未知,,,
投资经理/研究员,1-2万,杭州,2年及以上,硕士,万向创业投资股份有限公司,金融/投资/证券,民营,少于50人,五险一金;绩效奖金;定期体检;餐饮补贴,,投资经理 金融
投资银行部项目经理（中级）(000584),1.5-2.5万,上海,6年及以上,本科,国盛证券有限责任公司,金融/投资/证券,国企,1000-5000人,,证券从业资格;保荐代表人;财务尽调;券商投行;法律核查;考核;申报材料撰写;创新业务,
