职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
产品经理,1-1.6万·13薪,佛山·顺德区,5年及以上,本科,青岛海信模具有限公司,机械/设备/重工,国企,500-1000人,年终奖金;项目提成,办公软件;数据分析;cad;项目管理;office;方案设计;产品开发;功能设计;市场调查;调研,
数据分析工程师,1.3-1.9万·13薪,苏州,无需经验,本科,卡特彼勒（吴江）有限公司,机械/设备/重工,外资（欧美）,150-500人,,数据分析;数字化转型;automation;logistics;quality;data;mining;production;decision;costs,
数据分析师,8千-1万,广州,无需经验,大专,上海柏巨电子科技有限公司,电子技术/半导体/集成电路,民营,未知,五险一金;绩效奖金;年终奖金;定期体检,excel;大数据;考核,管理销售团队 销售制度 销售对策 管理销售目标
高级总监（商业运营-非标商业）,30-50万/年,武汉·东湖新技术产业开发区,10年及以上,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,,数据分析;运营;招商;业态规划;定位策划;招商策略;项目操盘;商业运营,营销推广 运营策略
数据分析助理,7.8千-1.4万,郑州,1年,大专,宁波晨铭金属有限公司,原材料和加工,民营,50-150人,五险一金;五险;带薪年假;带薪病假;员工旅游;年终奖金;绩效奖金,数据分析;数据收集;数据监控;报表整理,
数据工程师,8千-1.5万·15薪,宁波,3年及以上,本科,中海地产宁波公司,房地产,外资（非欧美）,150-500人,,计算机;数据分析;房产;建模;pandas;爬虫;numpy;数据安全;可视化,营销
数据分析师,1-1.2万·13薪,合肥,无需经验,本科,上海目柏机电有限公司,机械/设备/重工,民营,未知,五险一金;绩效奖金;年终奖金,计算机;数学;统计;matlab;建模;人工智能;spss;分析;数据建模;sas,
数据分析员/五险双休,7.6-9.8千·13薪,绍兴·柯桥区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
天猫运营助理,4.5-6千,武汉·东西湖区,无需经验,本科,上海恒印影像科技有限公司,互联网/电子商务,民营,150-500人,绩效奖金;节日福利;弹性工作;员工旅游;缴纳社保,电商行业;商品链接;数据分析;师徒带教,
数据分析专员,7千-1万,太原,无需经验,大专,河北洋鸿环保科技有限公司,环保,民营,150-500人,五险一金;免费班车;员工旅游;交通补贴;餐饮补贴;通讯补贴,报表;数据支持;业务监控体系;挖掘;业务数据,
数据分析专员,1-1.2万·13薪,济南·历下区,无需经验,大专,山东玺东传媒科技有限公司,广告,民营,50-150人,培训;五险一金;带薪年假,计算机;数据库;excel;sql;数学;统计;数据采集;数据统计分析;数据模型;数据建模,
数据分析师,1.2-1.5万·13薪,青岛·市北区,无需经验,本科,青岛泓优月物业管理有限公司,物业管理/商业中心,民营,50-150人,五险一金;绩效奖金;年终奖金,计算机;数据分析;excel;sql;数学;统计分析;分析报告;数据支持;数据挖掘;数据,
数据分析师,1-1.2万·13薪,苏州,无需经验,本科,上海目柏机电有限公司,机械/设备/重工,民营,未知,五险一金;绩效奖金;年终奖金,计算机;数学;统计;matlab;建模;人工智能;spss;分析;数据建模;sas,
项目管理（风电）,1-1.5万·13薪,贵阳·观山湖区,3-5年,本科,上海王子顺势能源（集团）有限公司,新能源,民营,50-150人,五险一金;带薪年假,办公软件;数据分析;项目管理;土建;电气;解决方案;运维;机电;建造师;优化流程;新能源,
数据分析员/五险双休,7.6-9.8千·13薪,赣州·章贡区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
数据分析专员,1-1.2万·13薪,济南·市中区,无需经验,大专,山东玺东传媒科技有限公司,广告,民营,50-150人,培训;五险一金;带薪年假,计算机;数据库;excel;sql;数学;统计;数据采集;数据统计分析;数据模型;数据建模,
数据分析师,1.2-1.5万·13薪,广州·越秀区,无需经验,本科,广州桂廷凯贸易有限公司,贸易/进出口,民营,50-150人,五险一金;绩效奖金,计算机;数据分析;excel;sql;经济;数学;数据收集;数据支持;数据可视化;数据模型,
物流数据分析岗,8千-1.5万,重庆·渝北区,无需经验,大专,重庆布乾嘉运输有限公司,交通/运输/物流,民营,少于50人,五险一金;年终奖金;餐饮补贴;周末双休,数据分析;excel;sql;物流;物流行业;运输;数学;统计;配送;仓储,
物业工程部经理,8千-1.2万·13薪,台州·椒江区,3年及以上,大专,绿城物业服务集团有限公司台州分公司,物业管理/商业中心,民营,150-500人,五险一金;年终奖金;餐饮补贴;专业培训;定期体检;节日福利;带薪年假;通讯补贴;交通补贴;高温补贴;周末双休,,
数据分析员,6千-1万,平顶山·新华区,无需经验,本科,山西飞马数据科技有限公司,计算机软件,民营,未知,餐补,大数据;电子信息;物联网;spark;人工智能;数据支持;计算机科学;大数据平台;技术解决方案;数据处理,
数据分析专员,8千-1.5万,成都·青羊区,1年及以上,大专,成都希禾营销策划有限责任公司,影视/媒体/艺术/文化传播,民营,未知,专业培训;节日福利,数据分析;数据支持;业务决策;全勤奖,跨部门协作
薪酬及岗位体系管理,1-1.6万·14薪,南京·雨花台区,3年及以上,硕士,南京国睿信维软件有限公司,计算机软件,国企,未知,福利政策,数据分析;财务管理;人力资源管理;统计分析;薪资核算;薪酬政策;薪酬数据分析;薪酬数据;任职资格标准,
数据分析员/五险双休,7.6-9.8千·13薪,台州·椒江区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
工业园区招商运营经理,6千-1万,西安·雁塔区,5年及以上,本科,陕西华银电力实业集团有限公司,建筑/建材/工程,民营,50-150人,员工培训;培训;五险;年终奖金;绩效奖金;有餐补;交通补贴;通讯补贴,团队建设;定期团建;数据分析,
