职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
客户经理(J12078)-河南,6千-1.2万,郑州,无需经验,本科,东北证券股份有限公司,金融/投资/证券,已上市,1000-5000人,专业培训;五险一金;餐饮补贴,理财经理,证券 客户经理 理财顾问
投研总监(004754),1.5-2万,济南·历下区,8年及以上,硕士,东阿阿胶股份有限公司,制药/生物工程,已上市,5000-10000人,,药学;证券从业资格;医学;生物学;医药行业;化学;尽职调查;药品研发;可行性研究,资本市场
行业研究员/股票研究员,5千-1万,上海,无需经验,本科,上海元涞私募基金管理有限公司,金融/投资/证券,民营,少于50人,五险一金,基金产品,研究报告 投资 股票投资 个股研究报告 价值投资
市场营销岗（上海）,7.5千-1.5万,深圳·福田区,2年,硕士,招商证券股份有限公司,金融/投资/证券,国企,10000人以上,五险一金,经济;关系维护;信息管理;数据整理;机构业务;客户情况分析,市场营销 金融
境外基金服务岗,7.5千-1.5万,深圳·福田区,3年及以上,硕士,招商证券股份有限公司,金融/投资/证券,国企,10000人以上,五险一金,,
柜台岗,6-8千,南昌·红谷滩区,2年及以上,本科,东莞证券股份有限公司江西分公司,金融/投资/证券,国企,5000-10000人,带薪年假;五险一金;双休;补贴,证券从业资格;期货从业资格;客服;投教;基金从业资格;奖金,证券从业 证券柜台
研究员岗-国有理财公司,15-25万/年,青岛·崂山区,3年及以上,硕士,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,保险,基金;理工科;cfa;债券;理财;深度报告;frm;薪资面议,金融 研究报告
公募基金研究岗,2-3万,上海·浦东新区,3年及以上,硕士,深圳市永佑顺财务代理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;年终奖金;绩效奖金;定期体检;专业培训;餐饮补贴;补充医疗保险;员工旅游;通讯补贴;交通补贴;周末双休,,
证券投资主管,1-1.5万,上海·闵行区,2年及以上,本科,申联生物医药（上海）股份有限公司,农/林/牧/渔,合资,150-500人,定期体检;绩效奖金,药学;谈判;医药行业;生物医药;投后管理;会议资料,投资 路演 研究报告 投资可行性
行业研究员,1.3-1.5万·13薪,北京·怀柔区,无需经验,大专,北京君创同达投资管理有限公司,金融/投资/证券,民营,50-150人,培训;五险一金;带薪年假;年终奖金;专业培训;绩效奖金;定期体检;通讯补贴,管理;数据分析;社会学;经济,
行业研究员（医药方向）,1.5-2.5万,深圳,1-3年,硕士,前海开源基金管理有限公司,金融/投资/证券,民营,150-500人,绩效奖金;年终奖金;定期体检;餐饮补贴;员工旅游;补充医疗保险;带薪年假;节日福利,医药相关专业;创新药;医疗器械,
行业研究员,1.3-1.5万·13薪,北京·石景山区,无需经验,大专,北京君创同达投资管理有限公司,金融/投资/证券,民营,50-150人,培训;五险一金;带薪年假;年终奖金;专业培训;绩效奖金;定期体检;通讯补贴,管理;数据分析;社会学;经济,
研究咨询部-研究岗（兴泰研究院）,,合肥·蜀山区,无需经验,硕士,合肥兴泰金融控股（集团）有限公司,金融/投资/证券,国企,未知,,管理;经济;写作;宏观经济;国资国企改革;研究咨询,金融 研究报告 研究报告撰写
投资顾问,1.5-2.5万,宁波·海曙区,2年及以上,本科,国信证券股份有限公司宁波分公司,金融/投资/证券,国企,150-500人,工会福利;意外险;五险一金;带薪年假;年终奖;系统培训;业绩提成;六险二金;各类补贴;健康体检;过节费;年金,,
助理研究员,6.5-8千,佛山·南海区,1-2年,本科,炬申物流集团股份有限公司,交通/运输/物流,已上市,500-1000人,五险一金;节日福利;餐补,理工科;数据收集;商业;市场咨询;有色金属;产业数据;商业资讯;国家政策,销售
投资银行部项目经理（高级）(000635),1.5-2.5万,上海·浦东新区,8年及以上,硕士,国盛证券有限责任公司,金融/投资/证券,国企,1000-5000人,,证券从业资格;团队管理;客户沟通;维护客户关系;客户资源;cpa;持续督导;注册会计师;团队建设,金融机构 ipo
华北区销售副总监/高级销售经理/销售经理(000638),1.5-2.5万,北京·东城区,4年及以上,本科,国盛证券有限责任公司,金融/投资/证券,国企,1000-5000人,,证券从业资格;维护客户关系;关系维护;客户档案;投研;资格证书,销售 客户服务 营销策划 路演 上市公司
2026届校招培训生（绍兴柯桥）,6-9千,绍兴·柯桥区,无需经验,本科,中信证券股份有限公司绍兴群贤路证券营业部,金融/投资/证券,国企,未知,通讯补贴;节日福利;周末双休;餐补;带薪休假,,证券投资 金融产品销售 投融资 客户开发 客户服务 上市公司
市场总监,2-4万,上海·虹口区,8年及以上,硕士,江海证券有限公司,金融/投资/证券,国企,1000-5000人,培训,,
高级机构业务经理(001788),1.5-3万,成都,3-4年,本科,中泰证券股份有限公司,金融/投资/证券,已上市,5000-10000人,,证券从业资格;法律职业资格;融资服务;股权激励,金融行业
食品饮料&新消费分析师,8千-1.5万,上海·浦东新区,1年及以上,硕士,太平洋证券股份有限公司,金融/投资/证券,已上市,1000-5000人,,,行业分析 行业分析师
精英/首席客户经理,35-70万/年,上海·虹口区,5-7年,本科,中信证券股份有限公司上海分公司,金融/投资/证券,国企,10000人以上,五险一金;补充医疗保险;补充公积金;绩效奖金,,金融 投资顾问 证券 银行 理财顾问 客户经理 金融产品 证券投资
机构业务岗（高净客户服务方向）（总部直属）,1.8-2.5万,北京·东城区,2年及以上,硕士,国联民生证券股份有限公司,计算机软件,外资（欧美）,50-150人,五险一金;绩效奖金;定期体检;年终奖金;专业培训;餐饮补贴,信托;考核;etf;券商,证券投资顾问 综合金融服务
财富管理总监,8千-1.6万,青岛·崂山区,2年及以上,本科,华鑫证券有限责任公司,金融/投资/证券,国企,1000-5000人,培训,团队建设,财富管理 金融产品销售 渠道拓展 客户开发 投资顾问
私行顾问,1-2万,武汉·武昌区,3年及以上,本科,华泰证券股份有限公司湖北分公司,金融/投资/证券,已上市,150-500人,绩效奖金;专业培训;定期体检;年终奖金;餐饮补贴;通讯补贴;补充医疗保险;员工旅游;带薪年假;节日福利;周末双休,,
机构业务经理,6千-1万,成都·武侯区,无需经验,本科,东方财富证券股份有限公司成都分公司,金融/投资/证券,民营,未知,五险一金;绩效奖金;定期体检;专业培训;带薪年假;员工旅游;节日福利;周末双休;保险,机构客户,金融 证券
机构客户经理,4-8千,广州·番禺区,1年及以上,大专,万联证券股份有限公司广州番禺清河东路证券营业部,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;专业培训;定期体检;节日福利;带薪年假;做五休二;企业年金,,
理财经理,3-5千,大连,无需经验,本科,中银国际证券股份有限公司大连分公司,金融/投资/证券,合资,500-1000人,培训,基金;股票;理财产品;债券,销售 客户开发 客户服务 金融产品 投资咨询 证券投资顾问
综合财富管理投资顾问,6千-1.1万,北京·海淀区,2年及以上,本科,中国中金财富证券有限公司,金融/投资/证券,国企,5000-10000人,,,上市公司
机构客户经理,1-1.1万,北京·海淀区,2年及以上,本科,国泰海通证券股份有限公司北京分公司,金融/投资/证券,已上市,未知,五险一金;绩效奖金;定期体检;年终奖金;补充医疗保险;带薪年假;企业年金;降温取暖费,,
投资顾问、业务经理-财富管理方向,1-1.1万,北京·海淀区,2年及以上,本科,国泰海通证券股份有限公司北京分公司,金融/投资/证券,已上市,未知,五险一金;绩效奖金;专业培训;年终奖金;定期体检;餐饮补贴;补充医疗保险;带薪年假;交通补贴;通讯补贴;周末双休,,
投资顾问、业务经理-财富管理方向,1-1.1万,北京·丰台区,2年及以上,本科,国泰海通证券股份有限公司北京分公司,金融/投资/证券,已上市,未知,绩效奖金;专业培训;定期体检;带薪年假;高温补贴;五险二金;企业年金,维护客户;产品配置;财富规划,投资理财
营销策划岗（互联网证券）,1-2万,深圳·福田区,3年及以上,硕士,招商证券股份有限公司,金融/投资/证券,国企,10000人以上,,,
投资顾问-财富管理方向,1-1.1万,北京·朝阳区,2年及以上,本科,国泰海通证券股份有限公司北京分公司,金融/投资/证券,已上市,未知,五险一金;绩效奖金;年终奖金,维护客户;理财;开拓新客户;产品配置;财富规划;配置资产,投资理财 金融服务方案
资深财富管理师,6千-1.2万,西安·雁塔区,2年及以上,本科,华鑫证券有限责任公司,金融/投资/证券,国企,1000-5000人,五险一金;补充医疗保险;员工旅游;交通补贴;餐饮补贴;通讯补贴;绩效奖金;年终奖金;定期体检,证券从业资格,
