职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
财务管理,1.5-2万,南通,10年及以上,本科,东丽酒伊织染（南通）有限公司,服装/纺织/皮革,外资（非欧美）,1000-5000人,,,
财务会计,6-8.5千,广州·越秀区,2年,本科,南海渔村集团有限公司,餐饮业,合资,500-1000人,带薪年假,财务;预算;会计;财务软件;税法;财务核算;单据审核;会计法规;记帐凭证;对外联络,
财务专员,7-12万/年,南京·玄武区,2年及以上,本科,南京玄武高新技术产业集团有限公司,政府/公共事业,政府机关,150-500人,五险一金;定期体检;带薪年假;节日福利;周末双休;补充医疗保险;生日福利;单位食堂,融资;债券市场,银行贷款
主办会计,1-1.3万,厦门·思明区,5年及以上,本科,国投智能信息科技股份有限公司,计算机软件,国企,1000-5000人,五险一金,财务;审计;财务报表;经营管理;年审;年度预算;评估;财务分析报告;政府项目申报;专项审计,
财务助理,6-8千·13薪,上海·松江区,1年,本科,浙江蔚福科技股份有限公司,机械/设备/重工,民营,50-150人,五险一金;年终奖金;餐饮补贴;节日福利,,
财务,15-20万/年,北京·西城区,2年及以上,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,,办公软件;财务;会计;财务管理;成本控制;财务软件;税务申报;财务核算;项目结算;资金管理,
财务实习生,3-5千,上海·浦东新区,无需经验,本科,上海纽脉医疗科技股份有限公司,医疗设备/器械,民营,150-500人,,,
财务BP,8千-1.2万,武汉·东湖新技术产业开发区,5年及以上,本科,武汉达梦数据库股份有限公司,计算机软件,已上市,1000-5000人,五险一金;免费班车;交通补贴;餐饮补贴;通讯补贴;年终奖金;定期体检;专业培训;股票期权,,
出纳,5-8千,昆山,1-3年,大专,盛夏新能源汽车材料（昆山）有限公司,汽车零配件,民营,50-150人,五险一金;带薪年假;年终奖金;专业培训,办公软件;excel;财务;会计;盘点;财务软件;出纳;报销;财会;付款,
主办会计,8千-1.6万,马鞍山·和县,3-5年,本科,怡通新材料有限公司,原材料和加工,国企,150-500人,五险一金,办公软件;财务;审计;财务管理;成本核算;财务软件;纳税申报;会计报表;财务制度;报表编制,
财务出纳,5-6千·13薪,合肥·政务区,2年及以上,本科,安徽显塑国际贸易有限公司,贸易/进出口,民营,少于50人,餐补;缴纳五险;五险一金;福利好;入职培训,13薪;员工体检,
财务助理（成本会计方向）,6-8千,中山,无需经验,本科,中山联合光电科技股份有限公司,仪器仪表/工业自动化,已上市,1000-5000人,,数据分析;财务;会计;成本核算;金蝶;bom;财务助理;全职;校招,
财务会计,7-9千·13薪,上海,3年及以上,本科,艺康（中国）投资有限公司,石油/化工/矿产/地质,外资（欧美）,1000-5000人,五险一金;补充医疗保险;绩效奖金;年终奖金;定期体检;专业培训;弹性工作;带薪年假,,
2026-财务岗（留学生）,7千-1.2万·14薪,惠州·惠城区,在校生/应届生,硕士,惠州亿纬锂能股份有限公司,新能源,已上市,10000人以上,,英语;财务管理;成本管理;成本分析;资产管理;成本管控;学生干部;财会;财务分析报告;财务信息化,
财务主管会计,6-7千,武汉·江夏区,3年及以上,本科,武汉丰茂包装有限公司,印刷/包装/造纸,民营,50-150人,五险一金,,
财务专员,7-9千,东莞·大朗镇,5年及以上,本科,广东晟鹏材料技术有限公司,原材料和加工,民营,50-150人,包住;有餐补;五险;带薪年假,财务;会计;财务管理;税务;出纳;会计凭证;财务核算;成本会计;费用管理,金融
财务专员,6.3-6.8千,长沙·芙蓉区,2年及以上,大专,武汉乐余科技文化有限公司,计算机软件,民营,未知,五险一金,办公软件;财务;审计;会计;财务报表;税务;财务软件;费用报销;财务核算;发票管理,
财务主管,1-1.6万,广州,2年及以上,本科,广东大冶摩托车技术有限公司,汽车,合资,1000-5000人,五险一金;年终奖金,管理;财务;会计;财务管理;成本控制;财务报表;税务;财务软件;税务申报;税法,上市公司
廊坊基地财务副经理,9千-1.5万,廊坊,5年及以上,本科,国药集团工业有限公司,制药/生物工程,国企,500-1000人,五险一金,成本控制;财务;团队管理;经营分析;税务管理;预算成本;降本增效;体系建设;合规风控;业财融合,
财务科长,12-18万/年,南通·通州区,5年及以上,大专,上海华迅汽车配件有限公司,汽车,民营,未知,五险一金;绩效奖金,财务;财务报表;财务预算;增收节支;监控预算执行;考核资金;经济核算;财务分析;管理财务报表,
财务主管（湖州）,8千-1.2万,湖州·吴兴区,5年及以上,本科,成都派铂宇航科技发展有限公司,航天/航空,民营,150-500人,五险一金;专业培训,财务;预算;会计;财务管理;财务报表;成本核算;生产;核算;固定资产管理;税务申报,
外派财务经理（丽江）,8千-1万,丽江,3年及以上,本科,上药控股云南有限公司,医疗/护理/卫生,国企,150-500人,周末双休,财务报表;会计核算;融资;固定资产管理;财务核算;分析报告;资金管理;财务预算;财务管理;中级会计职称,
财务主管,6-8千,惠州·惠东县,5年及以上,本科,杰嘉友（深圳）材料科技有限公司,计算机软件,民营,未知,员工旅游;绩效奖金;专业培训;弹性工作;定期体检,,
财务经理,1-1.5万,内江,3年及以上,本科,四川天府烤卤有限公司,快速消费品(食品、饮料、化妆品),民营,150-500人,弹性工作;绩效奖金;年终奖金,全勤奖,
财务经理,9千-1.2万,珠海·金湾区,5年及以上,本科,珠海汇华环保技术有限公司,环保,民营,未知,,团队建设,
集团财务管理部长助理（国企）,2.2-2.3万,青岛·崂山区,10年及以上,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),合资,5000-10000人,定期体检;节日福利;带薪年假;五险一金;补充医疗保险;带薪病假;项目奖金;年终奖金;通讯补贴,团队建设;定期团建,
财务经理,6-8千·13薪,九江·彭泽县,5年及以上,本科,江西陶令酒业有限公司,快速消费品(食品、饮料、化妆品),民营,150-500人,培训;五险一金;三节福利;带薪年假,财务;会计;财务报表;金蝶;团队建设;财务软件;用友;财务核算;晋升,
财务主管会计,6-7千,武汉·江夏区,3年及以上,本科,武汉丰茂包装有限公司,印刷/包装/造纸,民营,50-150人,五险一金,,
财务经理/财务主管,8千-1.3万,温州,8年及以上,本科,浙江众成科技有限公司,计算机服务(系统、数据服务、维修),民营,50-150人,,管理;财务;薪资面议,
财务总监,1.6-2.5万·13薪,苏州·苏州工业园区,8年及以上,本科,江苏天天供应链管理集团有限公司,交通/运输/物流,民营,150-500人,五险一金;年终奖金;专业培训,采购;财务;预算;招标;税务;合同签订;供应商管理;会计核算;询价;融资,
财务专员,6.3-6.8千,长沙·芙蓉区,2年及以上,大专,武汉乐余科技文化有限公司,计算机软件,民营,未知,五险一金,办公软件;财务;审计;会计;财务报表;税务;财务软件;费用报销;财务核算;发票管理,
财务主管（湖州）,8千-1.2万,湖州·吴兴区,5年及以上,本科,成都派铂宇航科技发展有限公司,航天/航空,民营,150-500人,五险一金;专业培训,财务;预算;会计;财务管理;财务报表;成本核算;生产;核算;固定资产管理;税务申报,
财务BP(双休+五险一金+提供住宿),7-9千,珠海·金湾区,3年及以上,本科,高景太阳能股份有限公司,新能源,民营,500-1000人,五险一金;餐补;双休;餐饮补贴,电力;提供住宿;工龄奖;话补,
财务专员,6.5-7.5千,深圳,2年及以上,大专,常州缪幻商贸有限公司,批发/零售,民营,未知,五险一金,办公软件;财务;审计;会计;财务报表;财务软件;费用报销;税务申报;财务核算;发票管理,
财务部副经理,8千-1.2万,苏州·吴中区,3年及以上,大专,苏州汇航御源酒店管理有限公司,互联网/电子商务,民营,少于50人,五险一金;定期体检,财务;税收政策;税务筹划;融资;财务软件;财务管理,
财务专员,6.3-6.8千,武汉·洪山区,2年及以上,大专,武汉乐余科技文化有限公司,计算机软件,民营,未知,五险一金,办公软件;财务;审计;会计;财务报表;税务;财务软件;费用报销;财务核算;发票管理,
财务会计,6千-1万,南通,3年及以上,本科,南通市通州区先锋花园色织有限责任公司,服装/纺织/皮革,民营,150-500人,节假日福利;生日福利;社保,免费住宿;包工作餐,
财务部长,8千-1.5万,深圳·大鹏新区,5年及以上,本科,广东广交建设工程有限公司,建筑/建材/工程,民营,50-150人,,excel;财务;会计;财务管理;成本控制;财务报表;团队管理;金蝶;财务软件;出纳,
财务经理,1-1.5万,深圳·宝安区,5年及以上,本科,深圳市锐骏半导体股份有限公司,电子技术/半导体/集成电路,民营,150-500人,双休;五险,管理;预算;财务管理;成本核算;团队建设;税务;资产管理;核算;会计核算;融资;工作餐,上市公司
财务专员,5.8-6.8千,常州·天宁区,2年及以上,大专,常州缪幻商贸有限公司,批发/零售,民营,未知,五险一金,办公软件;财务;审计;会计;财务报表;财务软件;费用报销;税务申报;财务核算;发票管理,
财务主管,6.5-8千,南宁·横州市,3年及以上,本科,南宁宸宇新能源科技有限公司,新能源,民营,150-500人,五险一金;绩效奖金,办公软件;财务;会计;成本控制;财务软件;税务申报;财务核算;资金管理;财务预算;报表编制,
财务主管,1-1.2万,深圳·龙华区,5年及以上,本科,深圳市永航新能源技术有限公司,电子技术/半导体/集成电路,民营,150-500人,下午茶;培训,excel;财务;审计;预算;会计;财务管理;成本控制;定期团建;新能源;工作餐;大小周,金融
财务会计,5-8千,铜陵·铜官区,2年及以上,大专,深圳市宝泽纺织有限公司,服装/纺织/皮革,民营,50-150人,下午茶,excel;财务;审计;会计;成本控制;财务报表;成本核算;金蝶;财务软件;用友;服装;旅游;氛围轻松,
财务（成本）,8千-1.1万,嘉兴·嘉善县,3年及以上,大专,和得科技（浙江）有限公司,金融/投资/证券,合资,未知,,,
财务经理/主管,1-1.3万·13薪,深圳·罗湖区,8年及以上,大专,深圳洋星通运国际货运代理有限公司,交通/运输/物流,民营,150-500人,带薪年假;周末双休;五险一金;带薪病假,生日会;法定假期;员工活动;团建旅游,
财务主管,6-8千,惠州·惠东县,5年及以上,本科,杰嘉友（深圳）材料科技有限公司,计算机软件,民营,未知,员工旅游;绩效奖金;专业培训;弹性工作;定期体检,,
财务会计,1-1.2万,南通·海门区,3年及以上,大专,上海齐绘机电科技有限公司,贸易/进出口,民营,50-150人,,办公软件;财务;会计;成本核算;财务软件;会计凭证;财务核算;税务筹划;出口退税;审核原始凭证;免费住宿,
财务主管/总账主管,1-1.3万,东莞·大朗镇,5年及以上,大专,广东晟鹏材料技术有限公司,原材料和加工,民营,50-150人,培训;包住,审计;财务报表;团队管理;财务软件;会计核算;税务申报;财务预算;办公自动化;erp系统上线,
财务主管-光明牧业ZB175,1.2-1.6万,滁州·定远县,2年及以上,本科,光明乳业股份有限公司,快速消费品(食品、饮料、化妆品),国企,10000人以上,五险一金;年终奖金;补充医疗保险,办公软件;数据分析;采购;excel;word;预算;ppt;财务管理;纳税申报;报表,
财务经理,8千-1.2万,广州·番禺区,10年及以上,本科,广东文穗智能装备股份有限公司,机械/设备/重工,民营,150-500人,培训;五险一金,数据分析;财务;erp;财务管理;财务报表;sap;金蝶;团队建设;机械制造,金融
销售财务主管,1.5-2.5万·15薪,苏州·苏州工业园区,5年及以上,本科,苏州振旺光电有限公司,家具/家电/玩具/礼品,民营,150-500人,五险一金;补充医疗保险;带薪年假,财务;财务管理;财务报表;对账;税务;会计核算;分析报告;审批;定价,销售
财务经理,6-8千·13薪,九江·彭泽县,5年及以上,本科,江西陶令酒业有限公司,快速消费品(食品、饮料、化妆品),民营,150-500人,培训;五险一金;三节福利;带薪年假,财务;会计;财务报表;金蝶;团队建设;财务软件;用友;财务核算;晋升,
财务专员兼出纳,5-8千,成都·双流区,10年及以上,大专,成都天府新区蕊合光善诊所有限公司,美容/保健,民营,少于50人,五险一金,,
会计财务专员,4-6千,哈尔滨,2年及以上,本科,哈尔滨圣金昌经贸有限责任公司,批发/零售,民营,少于50人,,归档;报表;数据统计;会计凭证录入,
财务经理,1.5-1.8万,常州,5年及以上,本科,迪森（常州）能源装备有限公司,机械/设备/重工,已上市,150-500人,,,
财务经理,1-2万,常熟,5年及以上,本科,小牛电气（苏州）有限公司,新能源,民营,未知,培训,招聘;财务;财务管理;成本控制;团队管理;成本核算;会计学;融资;财务核算;职业发展,
工厂财务控制及存货,15-20万/年,广州·番禺区,5年及以上,本科,广州安道拓汽车座椅有限公司,汽车,合资,500-1000人,五险一金;补充医疗保险;免费班车;通讯补贴;年终奖金;子女福利,免费工作餐;部门团建;子女医疗保险;定期团建,
电商财务会计,4-6千,广州·白云区,1年及以上,中技/中专,广东医宗堂医药有限公司,医疗/护理/卫生,民营,少于50人,,医药;erp;数据统计;电商行业;对帐;数据审核;费用登记;电商财务;订单核销,
财务经理(J16470),1.2-2.4万·14薪,芜湖·弋江区,5年及以上,本科,奇瑞控股集团有限公司,汽车,国企,10000人以上,五险一金;补充医疗保险;免费班车;餐饮补贴;绩效奖金,财务管理;项目财务管理;成本费用;研发财务BP,投资预算
会计财务专员,8.5千-1万·13薪,济南·历下区,无需经验,大专,山东玺东传媒科技有限公司,广告,民营,50-150人,五险一金;餐饮补贴;通讯补贴;绩效奖金;带薪年休假;双休;带薪年假;年终奖金;专业培训;定期体检;交通补贴,,
财务会计,4-6千,西安·莲湖区,3年及以上,大专,陕西坤州医药有限公司,制药/生物工程,民营,未知,餐饮补贴;节日福利;带薪年假;五险,医药;财务;财务软件;报税;做账;全勤奖,
财务部长(J10709),1.5-2.5万·14薪,南昌·青云谱区,5年及以上,本科,金杯电工股份有限公司,电气/电力/水利,已上市,1000-5000人,五险一金;员工旅游;餐饮补贴;通讯补贴;年终奖金;绩效奖金;定期体检;专业培训;包住,团队建设;定期团建,
财务BP,7千-1.4万·14薪,南宁,3年及以上,本科,大咖国际食品（广西）有限公司,快速消费品(食品、饮料、化妆品),民营,1000-5000人,五险一金;年终奖金;定期体检;绩效奖金;餐饮补贴;带薪年假;员工旅游;节日福利,,
财务主管,4-5千,石家庄,1-3年,本科,河北携轨新能源科技有限公司,专业服务(咨询、人力资源、财会),民营,未知,,财务;证照年审;资料变更;财务记帐,
财务部副经理,8千-1.2万,苏州·吴中区,3年及以上,大专,苏州汇航御源酒店管理有限公司,互联网/电子商务,民营,少于50人,五险一金;定期体检,财务;税收政策;税务筹划;融资;财务软件;财务管理,
