职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
电商运营专员,5-8千,杭州·桐庐县,5年及以上,大专,杭州富利登塑胶制品有限公司,贸易/进出口,民营,500-1000人,培训考核;节日福利,运营;运营管理;电子商务;电商平台;电商平台运营;产品结构优化,销售 市场营销 营销推广
运营管理实习生（不限专业）,5-8千,武汉·江汉区,在校生/应届生,大专,武汉迦恩网络科技有限公司,批发/零售,民营,50-150人,年终奖;培训;五险一金;员工旅游;年终奖金;绩效奖金,市场运营;团队运营;运营管理;团队建设;节日礼金,
营运经理,1.2-1.6万·16薪,重庆·沙坪坝区,2年及以上,本科,重庆沙坪坝万达广场商业管理有限公司,物业管理/商业中心,民营,150-500人,五险一金;定期体检;带薪年假;包吃,协调;租费收缴;经营数据;帮扶方案,营销管理
天猫运营助理,4.5-6千,武汉·东西湖区,无需经验,本科,上海恒印影像科技有限公司,互联网/电子商务,民营,150-500人,绩效奖金;节日福利;弹性工作;员工旅游;缴纳社保,电商行业;商品链接;数据分析;师徒带教,
招商营运主管/专员,6-9千·16薪,广州·黄埔区,2年及以上,大专,广州市粤新商业管理有限公司,物业管理/商业中心,国企,10000人以上,五险一金;做五休二;定期体检;带薪年假;餐饮补贴;节日福利;通讯补贴;过节费;高温补贴,商场;街区;招商;营运,
新媒体运营岗（经信）,6-8千,杭州·西湖区,3年及以上,本科,杭州力保人力资源服务有限公司,专业服务(咨询、人力资源、财会),国企,少于50人,培训,新媒体运营;短视频;视频拍摄;内容策略;新媒体账号;制作图文;监测运营数据;文案;事业单位;大平台,
营运经理（长租公寓）,8-9千,上海·浦东新区,3年及以上,大专,柏雅酒店管理（上海）有限公司,酒店/旅游,合资,少于50人,五险一金;餐饮补贴;带薪年假;通讯补贴;交通补贴,,
招商运营经理,8千-1.2万,北京,5年及以上,大专,康保安防系统（中国）有限公司常州分公司,机械/设备/重工,民营,150-500人,培训;绩效考核,人员管理;绿化养护;激励;环境清洁;行业管理;物业行政;项管理,
万新光学 销售运营经理,5-6千,镇江,5年及以上,大专,上海依视路光学有限公司,医疗设备/器械,外资（欧美）,10000人以上,员工培训;培训,,
运营总监,1.2-1.8万,无锡·惠山区,5年及以上,本科,无锡惠山高科集团有限公司,多元化业务集团公司,国企,未知,员工培训;绩效评估,场馆运营;运营;成本控制;资源配置;预算计划;调整人力;监控运营成本,运营策略
