职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
大良/朝九晚六+银行经理助理+周末双休,5-8千,佛山·顺德区,无需经验,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,五险一金;周末双休;节日福利;带薪年假;提成,业务拓展;商业拓展;代发;朝九晚六;节假日,金融 银行 银行卡
银行行政前台,6-8千,无锡,无需经验,大专,江苏领航服务外包有限公司,专业服务(咨询、人力资源、财会),民营,150-500人,五险一金,酒店管理;旅游;空乘;红酒品鉴,
银行行长,40-60万/年,,5年及以上,本科,上海黄钻企业管理咨询有限公司,金融/投资/证券,民营,50-150人,五险一金;绩效奖金,团队管理;运营管理;经济;风险管理;信贷;业务策略;业务发展计划,市场营销 金融 银行
市场营销管培生（银行）,8-11万/年,莆田,在校生/应届生,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,,人才储备,业务营销 零售金融 企业金融
销售服务顾问（银行渠道）,6-8千,天津·河西区,2年及以上,大专,同方全球人寿保险有限公司北京分公司,保险,合资,500-1000人,五险一金;绩效奖金;员工旅游;带薪年假;餐饮补贴;周末双休;节日福利;定期体检,定期团建;试用期全额,
［国企］银行客服专员+周末双休,6千-1.2万,成都·龙泉驿区,无需经验,大专,江西泰盈科技有限公司,互联网/电子商务,合资,10000人以上,生日福利;五险一金;周末双休;补贴,奖金;上五休二;8小时;节假日;月休8天,
银行融资总监,8千-1.6万·13薪,南昌·红谷滩区,5年及以上,本科,南昌璟泉数字科技有限公司,计算机服务(系统、数据服务、维修),民营,少于50人,五险一金;绩效奖金,团队管理;经济;市场动态;谈判技巧;融资产品;项目案例,金融 银行 销售策略 金融机构融资
中信银行账单分期五险一金7000+,7千-1.2万,沈阳·沈河区,无需经验,高中,百斯特佩捷软件技术服务（辽宁省）有限公司,电子技术/半导体/集成电路,民营,未知,餐补;五险一金;带薪年假;带薪旅游;公司福利;绩效提成;培训,奖金;底薪;生日会;团建聚餐,银行 银行系统
外资航空-客服经理（粤语纯正英语流利）,20-25万/年,广州·越秀区,10-12年,大专,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,下午茶;年终奖金;双休;五险一金;年终奖;交通补贴;年假;医疗保险,月休8天;产假;年度体检;8小时;津贴,
总行财税管理相关岗位,1.1-1.3万,泉州·丰泽区,3年及以上,硕士,泉州银行股份有限公司,银行,国企,1000-5000人,五险一金;绩效奖金;带薪年假;定期体检;节日福利,税务处理;税务;财税政策;税务管理;税务规划,银行财税
中信银行客服 五险一金,4-8千,昆明,无需经验,大专,云南佰胜企业管理有限公司,银行,民营,150-500人,五险一金;专业培训;带薪年假;节假日福利,全勤奖;团建活动,
客户经理岗（银川）(011653),8千-1.5万,银川·金凤区,1年,本科,中信银行信用卡中心银川分中心,银行,国企,500-1000人,,产品推广;信用卡;风险防控;前端风险防范,客户服务 金融产品 客户关系维护 商业银行 信用卡营销 创新营销
威海银行文职客服-五险一金,4-6千,济南,无需经验,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,五险一金;节日福利;晋升空间;培训,奖金;提供住宿;8小时;月休8天;双人间;上五休二;工作稳定;团建活动,
河北石家庄国企中信银行26届实习生档案文员,4千/天,石家庄·长安区,在校生/应届生,大专,河北猎达人力资源服务有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,专业培训;节日福利;员工旅游;定期体检;带薪年假;绩效奖金;五险一金,有转正机会;实习证明;时间自由;包住,
银行客服,5-6千,郑州·二七区,无需经验,中技/中专,广西云铁轨道科技有限公司,计算机软件,民营,未知,带薪培训;五险;下午茶;社保;绩效奖金;提成,奖金;员工食堂;工作轻松;节假日休;晋升;法定节假;提供宿舍,
银行大堂助理（周末双休南丹）,3-4千,河池·南丹县,无需经验,中技/中专,长沙惠邦网络科技有限公司,银行,民营,1000-5000人,缴纳五险;周末双休;绩效提成,接待客户,电子银行 手机银行 激活电子银行 网上银行 银行网点
银行客服专员,6-7千,沈阳·和平区,无需经验,大专,长沙惠邦网络科技有限公司辽宁分公司,银行,民营,5000-10000人,五险一金;带薪年假;双休;培训;带薪旅游;绩效提成;公司福利,奖金;满勤奖;生日会;底薪;团建聚餐;无需外出,
BK822K-平安银行玉溪支行贵宾理财经理,10-15万/年,玉溪,1年,本科,平安银行股份有限公司昆明分行,银行,已上市,500-1000人,补充医疗保险;餐补;五险一金;节日福利;带薪年假,,
公司客户经理,2-4万,深圳·南山区,2年及以上,本科,杭州银行股份有限公司深圳分行,银行,已上市,500-1000人,五险一金;通讯补贴;专业培训;午餐补助;技能培训,客户资源;市场开拓,银行 客户关系维护 经济金融 营销跟进
银行业务助理（双休，五险，不加班）,2.8-3.2千,黔西南·册亨县,无需经验,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,五险;不加班;双休,数据;客户资料收集;办公系统软件;收集资料;电话联系客户,协助开展营销
正规银行贷款（扩招5名）,1-2万,成都·成华区,无需经验,高中,成都乐薪信息科技有限公司,计算机软件,民营,未知,年终奖;绩效奖金;带薪年假;带薪培训;高提成,客户资源;贷款手续;无责底薪;工龄奖;奖金;旅游;大平台,
风险管理部-投资风控岗,8千-1.5万,无锡·梁溪区,5年及以上,本科,国联人寿保险股份有限公司,保险,国企,500-1000人,保险;五险一金;定期体检;年终奖金;带薪年假;节日福利;补充医疗保险;交通补贴,财务;基金;经济,金融 银行
银行商户经理（广州双休）,5-8千,广州,无需经验,中技/中专,长沙惠邦网络科技有限公司,银行,民营,1000-5000人,周末双休,产品介绍;征信;机器维护;耗材配送;收款二维码;巡检;底薪,银行支付 辅助营销
银行理财经理,35-40万/年,惠州,2年及以上,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,节日福利,业务咨询;处理客户投诉;理财规划;控制风险;收集客户,金融 银行 营销策划 营销服务 宣传营销
华南银行机构客户经理,2-3万,深圳,3年及以上,硕士,前海开源基金管理有限公司,金融/投资/证券,民营,150-500人,绩效奖金;年终奖金;员工旅游;定期体检;餐饮补贴;带薪年假;节日福利;培训,,
高级金融服务主任-环球贸易及融资部-佛山,7.3-9千,佛山·南海区,3-4年,本科,汇丰环球客户服务（广东）有限公司,金融/投资/证券,外资（欧美）,10000人以上,五险一金;绩效奖金;带薪年假;补充医疗保险;定期体检;专业培训,进出口;信用证;国际贸易;国际结算,贸易银行
须本科/银行单位 8200,8千-1.2万,成都·青羊区,无需经验,本科,四川泰盈科技有限公司,计算机软件,民营,未知,五险一金;带薪培训;下午茶;不加班;餐补;福利多多,坐班;行政班;提供宿舍;晋升机会;早九晚六;团建聚餐,
建设银行客服（无压力双休）,4-6千,重庆·渝北区,无需经验,中技/中专,重庆勤通网络科技服务有限公司,银行,民营,150-500人,五险一金;专业培训;双休;周末双休;绩效奖金;假日福利;岗位补贴;购买五险,节假日;津贴;底薪;员工活动,
乌海/副业/银行收款码牌推广-上班不打卡时间自由,4.5-5.5千,乌海,无需经验,,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,上岗培训,时间自由;推广;地推;智能手机app;介绍产品,销售
金融/反洗钱审核专员,3-6千,武汉·洪山区,1年及以上,大专,上海微创软件股份有限公司,计算机软件,合资,10000人以上,五险一金;补充医疗保险,运营;审核;客服;抖音;反洗钱;风控;资质审核;信息处理;免费班车,银行 消费金融
中信银行管培生/不销售带薪培训,6千-1万,西安,无需经验,高中,陕西壁小虎数据科技有限公司西安分公司,计算机服务(系统、数据服务、维修),民营,未知,带薪培训,问题解答;服务体验;日常咨询,银行系统
［国企］银行客服+早九晚六双休,6千-1万,成都·龙泉驿区,无需经验,大专,江西泰盈科技有限公司,互联网/电子商务,合资,10000人以上,五险一金;带薪培训;双休;周末双休,朝九晚六;提供住宿;早九晚六;节假日;全勤,
银行辅助柜员（带薪培训+工作轻松）,4-6千,绍兴·诸暨市,无需经验,大专,信雅达（杭州）计算机服务有限公司,贸易/进出口,已上市,5000-10000人,社保;带薪培训;双休,柜员;就近分配;上市企业;团建活动,金融 银行
